,ID,Class,Text_Post,Duracao,DiaDaSemana,Plays,Comentarios,Compart.,Texto,Curtidas,Perfil,Classifier_Plays,Classifier_Comentarios,Classifier_Compart.,Classifier_Curtidas
11,7115738690105756933,Blurred Joy Font Person Eyelash,"EXCLUSIVO: Marcos Valério_delata relação do PT com o_PCC_À PF, empresário diz que ex-prefeito Celso_Daniel teria dossiê com detalhes de_financiamento ilegal de petistas_Por Hugo Marques 1 jul 2022 17h03_Jair M. Bolsonaro @jairbo... 3min_- Não há dúvidas de que o crime tem_Lula como aliado e a mim como inimigo,_o que muito me orgulha. Com ele eram_diálogos cabulosos. Comigo são_recordes de apreensão de drogas e_prejuízos às facções. Ele quer esses_""jovens"" soltos. Eu quero que esses_bandidos apodreçam na cadeia.",51.48,sábado,99200,163,729,- ESTAMOS DO LADO CERTO!,8068,0,Flopou,Flopou,Mediano,Flopou
12,7115793869152734470,Goggles Gesture Person Exposed Eyewear Crowd Blurred Community Vision care Pink Joy Sunglasses Green Human Hat,INDEPENDÊNCIA DA BAHIA,60.93,sábado,262200,2150,1438,"#PepsiApplePieChallenge Estamos fazendo uma #caminhada com milhares de pessoas para reforçar a importância do 2 de Julho na Bahia. A #independência da Bahia foi fundamental para a independência do nosso país e do povo brasileiro. Este é um desfile do #povo, que não só é democrático como gosta de manifestações democráticas. Isso é independência. Temos que gritar em alto e bom som: Viva a Bahia, viva a #democracia e viva o #povo brasileiro! 📷 @ricardostuckert #povobrasileiro #independenciadabahia #juntospelobrasil #lula #vivaabahia",22400,1,Bombou,Bombou,Bombou,Mediano
13,7115805808331377926,Cloud Travel Tree Hat World Recreation Landscape Font Sky Person Leisure Exposed Crowd,-Salvador/BA: 02/07/2022,21.57,sábado,337100,2315,7130,#jairbolsonaro #bolsonaro #jair #bahia #salvador #ba #presidente #brasil #🇧🇷 #hino #nacional #povo #president #brazil #verdade #deus #patria #familia #❤️,41200,0,Bombou,Bombou,Viral,Bombou
14,7115851955330632965,Crowd World Fan Plant Social group Event Urban design Community,02 de Julho_Viva a Bahia+_Inshor,12.75,sábado,128000,785,982,"Na caminhada do 2 de Julho, em Salvador, recebendo o abraço do povo, celebrando a #Independência da Bahia e a #democracia brasileira. Estamos juntos, pela #Bahia, pelo #Brasil. 🇧🇷 #vamosjuntospelobrasil #lula #HPRadicalReuse #vivaabahia #independenciadabahia",12000,1,Mediano,Mediano,Mediano,Mediano
15,7115908390257233157,Happy Thumb Muscle Joy Top Gesture Smile Sleeve Fun Person T-shirt Finger,ICA CH_THE_HULLLL!!_(now it's my s_LENG,35.22,sábado,3500000,13000,12100,#jairbolsonaro #bolsonaro #ihu #brasil #brazil #deus #patria #familia #jesus #jovem #futuro #future #jair #🇧🇷 #br #young #president #presidente #liberdade,394000,0,Viral,Viral,Viral,Viral
16,7115921826542292229,Fence Hat Smile Event Fun Gesture Leisure Joy Youth Adaptation Person Happy Product,Obrigado Bahia,16.18,sábado,61700,244,143,Celebrar a #Independência da Bahia e a #democracia brasileira 🇧🇷⭐️ Foi lindo demais! #HPRadicalReuse #vamosjuntospelobrasil #lula #bahia,4634,1,Flopou,Flopou,Flopou,Flopou
17,7116161583075560710,T-shirt Font Person Sleeve Sky Pants,RJ/LOUVORZÃO 93FM 02/07/22_JAIR BOLSONARO,45.04,domingo,57200,220,172,#jairbolsonaro #bolsonaro #brasil #brazil #deus #patria #familia #jesus #jovem #futuro #future #jair #🇧🇷 #br #young #president #presidente #liberdade #🌷 #❤️ #freedom,5384,0,Flopou,Flopou,Flopou,Flopou
18,7116192377101946118,Facial expression Smile Social group Joy Hat Top Crowd Organ T-shirt Gesture Person Happy Interaction Product,2M_LUGAR DE MULHER_E ONDE_ELA QUISER,60.18,domingo,150700,417,397,"As #mulheres baianas foram #protaganistas na luta pela #independência . Afinal, lugar de mulher é onde ELA QUISER ⭐️🇧🇷❤️ #vamosjuntospelobrasil #lula",8871,1,Mediano,Mediano,Flopou,Flopou
19,7116479466896919814,Gesture Dress shirt Sleeve Spokesperson Audio equipment Forehead Public address system Muscle Arm Microphone,parece no Brasil,38.68,segunda-feira,111300,638,870,#jairbolsonaro #bolsonaro #ideias #defesa #vida #jair #brazil #brasil #🇧🇷 #diferencas #bem #mal #deus #patria #familia #ideologia #escolha #compartilhe,13700,0,Flopou,Mediano,Mediano,Mediano
20,7116603296168643845,Sleeve White-collar worker Collar Gesture Forehead Tie Smile Dress shirt Bookcase Shelf Joy,"PO, CLASSE MÉDIA?_JAIR BOLSONARO",60.11,segunda-feira,232600,445,1288,#jairbolsonaro #bolsonaro #classe #media #lula #mentira #fakenews #fakenewsdobem #400 #milhoes #presidente #entrevista #tv #lula #pt ##jair #brasil #🇧🇷 #compartilhe,25100,0,Mediano,Mediano,Bombou,Bombou
21,7116848776790166790,Microphone Audio equipment Music Person Jaw Mouth Entertainment Clothing,"INF_Infelizmente, os 9 governadores do Nordeste",58.19,terça-feira,2200000,7528,19000,#combustiveis #gasolina #diesel #bolsonaro #reducao #jair #brasil #🇧🇷 #presidente #jairbolsonaro #presidentebolsonaro #patria #familia #alimento #abastecimento #governador #nordeste #verdade #justica #contra #o #povo #ba #pi #ma #ce #rn #pb #al #se #bahia #piaui #maranhao #ceara #riograndedonorte #paraiba #alagoas #sergipe #governadores #compartilhe,198100,0,Viral,Viral,Viral,Viral
22,7117039482418892038,Publication Entertainment Font Coat Tie Suit Person Poster Spokesperson Microphone Blazer,ULALU_LA_CA_O POVO DEVE PARTICIPAR_ATIVAMENTE DA GOVERNANÇA,42.07,terça-feira,145300,702,483,O povo deve participar ativamente da governo. Só com o coletivo que a gente consegue caminhar. ⭐️🇧🇷❤️#vamosjuntospelobrasil #lula,10200,1,Mediano,Mediano,Mediano,Flopou
23,7117197139758959877,Person Table Bookcase Publication Watch Book Shelf Shelving,69 5_68E,23.99,quarta-feira,196900,623,1101,#auxiliobrasil #caminhoneiro #gas #brasil #🇧🇷 #reflexos #guerra #covid #fiqueemcasa #economia #auxilio #vale #imposto #reducao #zero #presidente #jairbolsonaro #jair #bolsonaro #1000 #dobro #pec #acao,24000,0,Mediano,Mediano,Mediano,Mediano
24,7117269425203514630,Happy Eyelash Eye Nose Cheek Gesture Ear Forehead Jaw,tanto é que tentaram_me matar,49.5,quarta-feira,89800,365,192,#jairbolsonaro #verdade #brasil #🇧🇷 #jair #bolsonaro #caminho #consciencia #presidente #reflexos #compartilhe #esquerda #america #latina #vizinhos #basta #olhar,6123,0,Flopou,Flopou,Flopou,Flopou
25,7117411123879496966,Smile Coat Gesture Joy Friendship Bow tie Scarf Suit Tie Formal wear Happy Person,LULA É DO POVO_COM ANICE LAWSON,73.0,quarta-feira,63000,231,166,Olha essa mensagem de video 🇧🇷⭐️❤️ #mensagensparalula #vamosjuntospelobrasil #lula #Libertadores #pepsiapplepiechallenge,4641,1,Flopou,Flopou,Flopou,Flopou
26,7117590392270327046,Chin Dress shirt Sleeve Gesture Collar Glasses Tie Forehead Suit Blazer Person,"DEM_não se pensava no passado,_trigo nessa região._JAIR BOLSONARO",60.3,quinta-feira,195000,502,1808,#jairbolsonaro #agronegocio #agro #presidente #brasil #alimento #trigo #base #jair #bolsonaro #roraima #🇧🇷 #kg #goias #rr #go #hectare #producao #mundo #compartilhe,18500,0,Mediano,Mediano,Bombou,Mediano
27,7117603422920117509,Font,A MIDIA_NÃO VAI TE_MOSTRAR_01) REDUÇÃO RECORDE_DE HOMICÍDIOS E CRIMES_VIOLENTOS_PAUSE PARA LER,127.96,quinta-feira,39700,123,286,#compartilhe #verdade #feitos #brasil #🇧🇷 #patria #realizacoes #familia #saude #economia #educacao #comercio #emprego #privatizacao #seguranca #startup #agronegocio #ocde #sao #francisco #liberdade #exonomica #reducao #gastos #rodovia #recorde #lei #mp #imoveis #escola #reforma #civico #militar #ampliacao #negocio #alfabetizacao #investimento #reforma #agraria #mundo #maquina #gastos #compartilhe,2368,0,Flopou,Flopou,Flopou,Flopou
28,7117660810549284102,Wrinkle Nose Suit Forehead,JAIR BOLSONARO,54.33,quinta-feira,110200,560,1285,#jairbolsonaro #compartilhe #cuba #venezuela #presidente #🇧🇷 #democracia #socialismo #povo #deus #patria #familia #combustivel,13100,0,Flopou,Mediano,Bombou,Mediano
29,7117971542633499910,Music Shirt Forehead Hat Spokesperson Audio equipment Person Chin Microphone Entertainment Music artist Public address system,"MINIS_INFRAEST_É O SENTIMENTO DE_PATRIOTISMO, DE BRASILIDADE_PA_B",49.02,sexta-feira,45700,171,186,#jairbolsonaro #bolsonaro #brasil #presidente #emocao #verde #amarelo #azul #e #branco #a #nossa #bandeira #jamais #sera #vermelha #deus #patria #familia #compartilhe,4149,0,Flopou,Flopou,Flopou,Flopou
30,7118042601000881413,Happy Collar Moustache Chin Beard Facial hair Forehead Smile Person Wrinkle Joy,Clareza_a,9.26,sexta-feira,125500,1698,363,Entrei para trend 😎 #clareza #vamosjuntospelobrasil #lula #equipelula,18100,1,Mediano,Bombou,Flopou,Mediano
31,7118068834459782405,Team Person Joy Sleeve Headgear Crew Crowd Hat Gesture Flag Blurred Sky Cap,PIRASSUNUNGA/SP (08/07/22]_ESPADIM NA ACADEMIA DA FORÇA AÉREA,60.11,sexta-feira,51100,182,119,#jairbolsonaro #presidente #constituicao #afa #academia #da #forca #aerea #sao #paulo #saopaulo #fab #forca #aerea #brasileira #brasil #deus #patria #familia #🇧🇷 #sp #compartilhe #jair #bolsonaro,4147,0,Flopou,Flopou,Flopou,Flopou
32,7118340242536434950,Hat Cloud Tie Gesture,,53.85,sábado,387300,854,3968,#jairbolsonaro #jair #bolsonaro #historia #brasil #🇧🇷 #deputado #federal #joaquim #barbosa #mensalao #pt #lula #dilma #fernandinho #beira #mar #comissao #parlamentar #470 #acao #penal #doleiro #alberto #yousseff #congresso #compartilhe,45200,0,Bombou,Mediano,Bombou,Bombou
33,7118447789050252549,Magenta Person Textile Event Font Joy Happy Flag Smile,28_ORDEM PROGRES50_9007_C_LENTIRE_BRASIL MERECE_MAIS LIVROS E MAIS AMOR_CON_ULA_LEVANIE,47.02,sábado,67100,329,627,O #Brasil merece mais #livros e mais #amor 🇧🇷❤️⭐️ #vamosjuntospelobrasil #lula #booktok #educacao #edutok,6987,1,Flopou,Flopou,Mediano,Flopou
34,7118453762775108869,Gesture Clothing Chin Nose Person Beard Forehead,A BANDEIRA VERDE E AMARELO_É DO POVO BRASILEIRO,52.06,sábado,208000,682,1021,A #bandeira brasileira é do #povo brasileiro ❤️🇧🇷⭐️ #vamosjuntospelobrasil #lula #Brasil #futebol,17200,1,Mediano,Mediano,Mediano,Mediano
35,7118506591141317894,Muscle Person Red Outerwear Microphone Tie Jeans Joy Sleeve Event T-shirt,,15.11,sábado,63300,188,82,POV: você participou de um ato com o #Presidente ❤️😎🇧🇷⭐️ marque nos comentários quem você vai levar no próximo #vamosjuntospelobrasil #lula #pov,4583,1,Flopou,Flopou,Flopou,Flopou
36,7118536238520438021,Event Person Font Crowd Exposed City Fan Leisure,"- Uberlândia/MG, 9/Jul/22._fills",65.9,sábado,57600,274,457,#minasgerais #minas #gerais #mg #jair #bolsonaro #jairbolsonaro #brasil #🇧🇷 #moto #harley #harleydavidson #honda #dafra #suzuki #yamaha #kawasaki #50 #150 #250 #300 #600 #1000 #cc #brazil #president #500 #ihu #motorcycle #drive #road #thanks #obrigado,5284,0,Flopou,Flopou,Mediano,Flopou
37,7118548034631257350,People Human Person Chin Clothing Smile Happy Publication Forehead Facial expression Joy Sharing Vertebrate,SANTANA/B_JAIR BOLSONARO_BOLSONA,24.98,sábado,68300,270,252,#jairbolsonaro #crianca #futuro #brasil #brazil #children #deus #patria #familia #jesus #jair #bolsonaro #presidente #satisfacao #🇧🇷 #❤️,6533,0,Flopou,Flopou,Flopou,Flopou
38,7118714403372928262,Motor vehicle Person Vehicle Clothing,"SE CAIR 13%, CAI R$2,00_DO PREÇO DO LITRO.",21.43,domingo,1900000,2819,3199,#pelas #ruas #de #sao #paulo #presidente #jair #jairbolsonaro #bolsonaro #do #brasil #🇧🇷 #combustivel #diesel #gasolina #gracas #a #deus #icms #povo #paga #menos #sobra #mais #para #outras #coisas #trabalho #seguimos #adiante,146400,0,Viral,Viral,Bombou,Viral
39,7118767343315979526,Music T-shirt Eyewear Top Concert Glasses Cap Baseball cap Blue Music artist Microphone Person Green,"REC_ULA_2022_LULA, VOCÊ FAZ PARTE_DA MINHA HISTÓRIA_ORDEM PRO_LOTE RESSO",57.72,domingo,645700,1307,7670,A história do Felipe Garcia é como a de milhares de brasileiros que acessaram o ensino com políticas públicas de governos que investiam na educação. É esse Brasil que vamos recuperar! ❤️🇧🇷⭐️ #vamosjuntospelobrasil #lula #educacao #prouni #DoritoslaÇıtırdatanLezzetler,33900,1,Bombou,Bombou,Viral,Bombou
40,7118779005758639366,Public address system Music Music artist Nose Microphone Performing arts Audio equipment Chin Entertainment Forehead,e isso é o que está_em jogo em nosso país._JAIR BOLSONARO,30.95,domingo,213400,622,791,#jairbolsonaro #jair #bolsonaro #domingo #deus #patria #familia #brasil #acima #de #tudo #todos #jesus #bom #lado #🇧🇷 #quartel #frase #do #nada #diferencas #presidente #liberdade,25800,0,Mediano,Mediano,Mediano,Bombou
41,7119045148578778374,Spokesperson Outerwear Person Vision care Blazer Dress shirt Sunglasses Microphone Audio equipment Tie Eyewear Microphone stand,FEV/2018_VOCÊ FARIA UMA LEI PARA_CONTROLAR A MÍDIA?,43.81,segunda-feira,448200,1018,4107,#jairbolsonaeo #bolsonaro #midia #imprensa #diferenca #jair #brasil #opiniao #jovempan #jovem #pan #presidente #datafolha #fakenews #2018 #uou #🇧🇷 #deus #patria #familia #controle #mais #uma,58600,0,Bombou,Bombou,Viral,Bombou
42,7119115867824147717,Tie Eye Chin Eyebrow Nose Ear Gesture Jaw Facial hair Forehead Hairstyle,2016_DEFENDENDO A MULHER_VÍTIMA DE ESTUPRO._PRESIDENTE_JAIR BOLSONARO,25.73,segunda-feira,108800,215,584,#jairbolsonaro #bolsonaro #mulher #violencia #defesa #brasil #quimica #brasil #🇧🇷 #compartilhe #leis #severas #compartilhe #presidente,12100,0,Flopou,Flopou,Mediano,Mediano
43,7119143272429161733,Flag Suit Shoe Formal wear Person Social group Smile Gesture Skirt Green Coat Fashion Joy Pants Fun Pink,A,9.94,segunda-feira,241800,600,353,"Com a Presidente da Hungria, Katalin Novák, nesta segunda-feira (11/07/2022). #presidente #jair #bolsonaro #assuntos #internacionais #brasil #hungria #🇧🇷 #🇭🇺 #katalin #novak #welcome #bemvinda #brazil #world #love",28800,0,Mediano,Mediano,Flopou,Bombou
44,7119192184913431813,Product Blue Gesture Green Leisure Microphone Performing arts Happy Person Joy Entertainment Music,"lia_LULA, EU ME FORMEI_GRAÇAS A VOCÊ_ORDEM PROFESSO",60.23,segunda-feira,89300,289,349,"Foi emocionante o reencontro entre Lula e a jornalista e escritora Samara Del Monte, acompanhada da mãe Claudia Del Monte, em Diadema, neste sábado (9). Samara tem paralisia cerebral e, com as políticas públicas de #inclusão escolar implementadas pelos governos do PT, teve a oportunidade de estudar, se formar e escrever um livro.🎥: @ricardostuckert#vamosjuntospelobrasil #lula #educaçao #jornalismo #edutok #educationtiktok #livros #booktok #escritora",8903,1,Flopou,Flopou,Flopou,Flopou
45,7119275865011145990,Person Joy Watch Rectangle Facial expression Human Smile Art Picture frame Glasses Happy Event Gesture,,12.65,segunda-feira,63700,131,42,"Deus me deu o direito de me apaixonar outra vez. E hoje estou aqui, apaixonado pela Janja e pelo Brasil. ❤️🇧🇷📸: @ricardostuckert #vamosjuntospelobrasil #lula #amor",3919,1,Flopou,Flopou,Flopou,Flopou
46,7119293751159262470,Lipstick Jaw Lip Black hair Chin Eyelash Eyebrow Neck Person Hairstyle Font,"Anitta * @Anitta 3h_Não sou petista e nunca fui. Mas este ano estou com Lula e quem_quiser minha ajuda pra fazer ele bombar aqui na Internet, tik tok,_Twitter, instagram é só me pedir que estando ao meu alcance e não_sendo contra lei eleitoral eu farei",5.11,segunda-feira,212400,749,246,Vamos juntos envolver o Brasil! 😎 #vamosjuntospelobrasil #lula #envolverchallenge #envolveranitta,20600,1,Mediano,Mediano,Flopou,Mediano
47,7119509830083038470,Green Poster Happy Person Gesture Leisure Flash photography Electric blue Joy Blue Font,"LULA, VOCÊ TIROU, A_GENTE DA MISÉRIA_ORDEM_STESSO",60.0,terça-feira,591700,1583,6387,Vanilza dos Santos é apenas uma das milhares de pessoas beneficiadas pelo Minha Casa Minha vida. “Tenho fé e esperança que o Brasil vai mudar. E a mudança ja está pronta. Só depende da gente.” ❤️🦑🇧🇷 #vamosjuntospelobrasil #Bastidores #lula #minhacasaminhavida #esperança,38700,1,Bombou,Bombou,Viral,Bombou
48,7119636536571809030,Face Hat Facial expression Joy Photograph Product Hair Happy Person Human Head Clothing Gesture Smile,Helic is_bla_el pols_H_Jam_Faz_VEL_VEM,26.47,terça-feira,94800,379,493,Faz O L e vem 😎 marque aqui 3 pessoas pra seguir o perfil do presidente! #FAZoL #Lula #FAZoLchallenge #vamosjuntospeloBrasil,7606,1,Flopou,Flopou,Mediano,Flopou
49,7119639753816820998,Sky Cloud Leisure Fun Street light Water Morning Person Shorts Clothing Recreation Happy,,29.19,terça-feira,44300,103,36,#molecada #futuro #brasil #pch #helicoptero #helicopter #brazil #children #jairbolsonaro #🇧🇷 #jairbolsonaro #presidente #jair #bolsonaro #deus #patria #familia #family #10 #ihu #ffaa #👍🏻,2963,0,Flopou,Flopou,Flopou,Flopou
50,7119808655352024326,Jaw Eye Eyelash Forehead Human body Mouth Nose Purple Violet Cheek,a questão do 17% do teto.,29.16,quarta-feira,62500,145,165,#jairbolsonaro ##jair #bolsonaro #brasil #icms #imposto #combustivel #diesel #gasolina #fuel #tax #presidente #senado #pt #voto #contra #o #povo #energia #eletrica #transporte #reducao #valor #trabalhador,4977,0,Flopou,Flopou,Flopou,Flopou
51,7119890914910194950,Gesture Organ Forehead Adaptation Tie Chin Natural environment,"HOME_Menor número em 14 anos_O número de assassinatos no Brasil em 2021_é o menor se for levada em conta a série_histórica do Fórum Brasileiro de Segurança_Pública, iniciada em 2007, e os levantamentos_realizados pelo Monitor da Violência desde_2018._COMO ÉQUE MEU GOVERNO_ESTIMULAA VIOLÊNCIA?!",59.6,quarta-feira,66800,159,250,#jairbolsonaro #bolsonaro #brasil #defesa #familia #violencia #fato #x #narrativa #jair #🇧🇷 #familia #reducao #violencia #criminalidade #verdade #liberdade #presidente #compartilhe,5682,0,Flopou,Flopou,Flopou,Flopou
52,7119957986759658758,Gesture Nose Forehead Jaw Human,"ISSO AQUI É NORDESTE,_É MARANHÃO!",35.71,quarta-feira,106300,454,1630,#jairbolsonaro #bolsonaro #maranhao #brasil #🇧🇷 #imperatriz #deus #patria #familia #moto #povo #jair #presidente #ma,10200,0,Flopou,Mediano,Bombou,Flopou
53,7120002612820266246,Person Audio equipment Spokesperson Joy Muscle Outerwear Gesture Public address system Tie Human Product Microphone,ONA_Anitta ♥→,19.62,quarta-feira,438300,2719,3815,Estamos 100% envolvidos ⭐️🇧🇷🦑❤️ #lula #anittachallenge #envolverchallenge #envolveranitta #anitta #brasil,60500,1,Bombou,Viral,Bombou,Bombou
54,7120031316359384326,Person Crowd Fan Event Blurred Flag Tree Leisure Sky Exposed,SOMETRAVE,22.15,quarta-feira,89800,287,388,-Imperatriz / MA (13/07/2022)#jair #bolsonaro #jairbolsonaro #imperatriz #maranhao #ma #lula #pt #dilma #brasil #🇧🇷 #compartilhe,9316,0,Flopou,Flopou,Flopou,Flopou
55,7120178088524188934,Dress shirt Blurred Hat Tie Event Gesture Coat Person Suit,MAIS DIGITALIZADO DO MUNDO!,46.55,quinta-feira,75200,164,257,#jairbolsonaro #bolsonaro #jair #realizacoes #governo #banqueiros #povo #brasil #🇧🇷 #desburocratizacao #cartorios #hoje #futuro #presidente #compartilhe #verdade,6988,0,Flopou,Flopou,Flopou,Flopou
56,7120262614063516934,T-shirt Joy Sleeve Security Jaw Smile Person Forehead Top,Preço da diária aqui: ZERO!,37.45,quinta-feira,107500,270,333,#jairbolsonaro #diferenca #lula #pt #hipocritas #brasil #deus #patria #familia #jair #bolsonaro #presidente #estadia #custo #zero #padrao #jornal #nacional #🇧🇷 #alo #rede #globo #compartilhe,9152,0,Flopou,Flopou,Flopou,Flopou
57,7120270818977844485,Cap Sports uniform Person Joy Jersey Pants Hat Top Textile Blue Gesture Player Sports jersey Shoe,سال 5_Faz_MIDI WORK,23.82,quinta-feira,89600,198,77,Olha como foi os #bastidores da #gravação 😎❤️🦑 #FAZoL #fazolchallenge #lula #makingof #antesedepois #comoficou,6434,1,Flopou,Flopou,Flopou,Flopou
58,7120308034231913734,Font Public speaking Audio equipment Public address system Speech Suit Event Person Spokesperson Microphone,J_Eu sonho com_O Brasil de_oportunidades +,51.36,quinta-feira,105700,451,622,✨Eu sonho com um Brasil de oportunidades ✨ #vamosjuntospelobrasil #lula #amor #esperança #brasil #emocionante,9393,1,Flopou,Mediano,Mediano,Flopou
59,7120312213142801669,Happy Joy Organ Forehead Hairstyle Wrinkle Plant Clothing Chin Nose Sky,OW_E não é apenas os R$600_CM_Place,56.79,quinta-feira,76100,169,135,#presidente #estado #emergencia #mais #necessitados #jair #bolsonaro #jairbolsonaro#auxilio #caminhao #caminhoneiro #brasil #auxiliobrasil #taxi #taxista #🇧🇷 #pec #verdade #pt #senador #deputado #psol #ajuda #compartilhe,5828,0,Flopou,Flopou,Flopou,Flopou
60,7120372484049816838,Blue Human Suit Blurred Entertainment Tie Joy Music Hat Packaged goods Person Microphone Event,230_Cuidar de quem_+ precisa,56.63,quinta-feira,724200,2138,5767,"Todo mundo sabe que eu vou governar para todos mas prioritariamente para o povo pobre, o povo que mais necessita e o povo que trabalha #vamosjuntospelobrasil #lula #amor #economia #brasil",61500,1,Viral,Bombou,Viral,Bombou
61,7120415083867491589,Gesture Electric blue Person World,J_Tik Tok_@jhonpresidente,44.51,quinta-feira,306000,826,1104,#jairbolsonaro #presidente #jair #bolsonaro #deus #patria #familia #evangelho #evangelica #aborto #escoria #brasil #acima #de #tudo #verdade #compartilhe #🇧🇷 #socialismo #comunismo,39500,0,Bombou,Mediano,Mediano,Bombou
62,7120581357117394181,Microphone Eyebrow Forehead Person Cheek Nose,A GENTE VÊ JOVENS_FUGINDO DE LÁ_OW CAN,31.16,sexta-feira,136600,383,761,#venezuela #brasil #presidente #jair #bolsonaro #jairbolsonaro #verdade #irmaos #socialismo #fome #miseria #violencia #deus #patria #familia #brasil #🇧🇷 #compartilhe,16000,0,Mediano,Flopou,Mediano,Mediano
