,ID,Class,Text_Post,Duracao,Plays,Comentarios,Compart.,Texto,Curtidas,Perfil,Classifier_Plays,Classifier_Comentarios,Classifier_Compart.,Classifier_Curtidas,domingo,quarta-feira,quinta-feira,segunda-feira,sexta-feira,sábado,terça-feira
10,7115560675824422149,Advertisement Poster Adult Male Man Person People Accessories Glasses,,15.39,882200,4312,2257,"A gente tem um um encontro marcado no dia 02 de Julho nas ruas de Salvador e por aqui, na live do tiktok! #lula #vamosjuntospelobrasil #lulanotiktok",47500,1,Viral,Viral,Bombou,Bombou,0,0,0,0,1,0,0
11,7115738690105756933,Advertisement Poster Head Person Face Photography Portrait Adult Male Man Text Blackboard,,51.48,99200,163,729,- ESTAMOS DO LADO CERTO!,8068,0,Flopou,Flopou,Mediano,Flopou,0,0,0,0,0,1,0
12,7115793869152734470,Accessories Sunglasses Baseball Cap Cap Clothing Hat Adult Male Man Person Head Female Woman Face People Body Part Finger Hand Glasses Crowd Happy Photography Portrait,,60.93,262200,2150,1438,"#PepsiApplePieChallenge Estamos fazendo uma #caminhada com milhares de pessoas para reforçar a importância do 2 de Julho na Bahia. A #independência da Bahia foi fundamental para a independência do nosso país e do povo brasileiro. Este é um desfile do #povo, que não só é democrático como gosta de manifestações democráticas. Isso é independência. Temos que gritar em alto e bom som: Viva a Bahia, viva a #democracia e viva o #povo brasileiro! 📷 @ricardostuckert #povobrasileiro #independenciadabahia #juntospelobrasil #lula #vivaabahia",22400,1,Bombou,Bombou,Bombou,Mediano,0,0,0,0,0,1,0
13,7115805808331377926,Crowd Person People Concert Adult Male Man Wristwatch Clothing Hat Audience Outdoors Nature Sky Photography,,21.57,337100,2315,7130,#jairbolsonaro #bolsonaro #jair #bahia #salvador #ba #presidente #brasil #🇧🇷 #hino #nacional #povo #president #brazil #verdade #deus #patria #familia #❤️,41200,0,Bombou,Bombou,Viral,Bombou,0,0,0,0,0,1,0
14,7115851955330632965,Crowd Person People City Architecture Building Audience Text Parade,,12.75,128000,785,982,"Na caminhada do 2 de Julho, em Salvador, recebendo o abraço do povo, celebrando a #Independência da Bahia e a #democracia brasileira. Estamos juntos, pela #Bahia, pelo #Brasil. 🇧🇷 #vamosjuntospelobrasil #lula #HPRadicalReuse #vivaabahia #independenciadabahia",12000,1,Mediano,Mediano,Mediano,Mediano,0,0,0,0,0,1,0
15,7115908390257233157,People Person Clothing T-Shirt Head Face Adult Male Man Photography Portrait Happy Baby Body Part Finger Hand Laughing Shirt Accessories Bag Handbag Crowd Hugging,,35.22,3500000,13000,12100,#jairbolsonaro #bolsonaro #ihu #brasil #brazil #deus #patria #familia #jesus #jovem #futuro #future #jair #🇧🇷 #br #young #president #presidente #liberdade,394000,0,Viral,Viral,Viral,Viral,0,0,0,0,0,1,0
16,7115921826542292229,Photography Face Head Person Portrait People Adult Male Man Happy Baseball Cap Cap Clothing Hat Laughing T-Shirt Accessories Sunglasses,,16.18,61700,244,143,Celebrar a #Independência da Bahia e a #democracia brasileira 🇧🇷⭐️ Foi lindo demais! #HPRadicalReuse #vamosjuntospelobrasil #lula #bahia,4634,1,Flopou,Flopou,Flopou,Flopou,0,0,0,0,0,1,0
17,7116161583075560710,Adult Male Man Person People Crowd Head Concert Architecture Arena Building Stadium,,45.04,57200,220,172,#jairbolsonaro #bolsonaro #brasil #brazil #deus #patria #familia #jesus #jovem #futuro #future #jair #🇧🇷 #br #young #president #presidente #liberdade #🌷 #❤️ #freedom,5384,0,Flopou,Flopou,Flopou,Flopou,1,0,0,0,0,0,0
18,7116192377101946118,People Person Clothing T-Shirt Advertisement Face Head Photography Portrait Cream Dessert Food Ice Cream Poster Accessories Glasses Adult Male Man City Road Street Urban Female Woman Sunglasses Parade Text Body Part Finger Hand,,60.18,150700,417,397,"As #mulheres baianas foram #protaganistas na luta pela #independência . Afinal, lugar de mulher é onde ELA QUISER ⭐️🇧🇷❤️ #vamosjuntospelobrasil #lula",8871,1,Mediano,Mediano,Flopou,Flopou,1,0,0,0,0,0,0
19,7116479466896919814,People Person Electrical Device Microphone Crowd Adult Male Man Audience Cricket Cricket Bat Sport Speech Lecture Head,,38.68,111300,638,870,#jairbolsonaro #bolsonaro #ideias #defesa #vida #jair #brazil #brasil #🇧🇷 #diferencas #bem #mal #deus #patria #familia #ideologia #escolha #compartilhe,13700,0,Flopou,Mediano,Mediano,Mediano,0,0,0,1,0,0,0
20,7116603296168643845,Clothing Shirt Accessories Formal Wear Tie Face Head Person Photography Portrait Adult Male Man Coat Body Part Finger Hand Dress Shirt Indoors Furniture,,60.11,232600,445,1288,#jairbolsonaro #bolsonaro #classe #media #lula #mentira #fakenews #fakenewsdobem #400 #milhoes #presidente #entrevista #tv #lula #pt ##jair #brasil #🇧🇷 #compartilhe,25100,0,Mediano,Mediano,Bombou,Bombou,0,0,0,1,0,0,0
21,7116848776790166790,Head Person Face People Adult Male Man Performer Solo Performance Electrical Device Microphone Crowd,,58.19,2200000,7528,19000,#combustiveis #gasolina #diesel #bolsonaro #reducao #jair #brasil #🇧🇷 #presidente #jairbolsonaro #presidentebolsonaro #patria #familia #alimento #abastecimento #governador #nordeste #verdade #justica #contra #o #povo #ba #pi #ma #ce #rn #pb #al #se #bahia #piaui #maranhao #ceara #riograndedonorte #paraiba #alagoas #sergipe #governadores #compartilhe,198100,0,Viral,Viral,Viral,Viral,0,0,0,0,0,0,1
22,7117039482418892038,People Person Crowd Adult Male Man Book Publication Advertisement Poster Audience Body Part Finger Hand Electrical Device Microphone,,42.07,145300,702,483,O povo deve participar ativamente da governo. Só com o coletivo que a gente consegue caminhar. ⭐️🇧🇷❤️#vamosjuntospelobrasil #lula,10200,1,Mediano,Mediano,Mediano,Flopou,0,0,0,0,0,0,1
23,7117197139758959877,Book Publication Indoors Library Adult Male Man Person Face Head Accessories Glasses Furniture Credit Card Text,,23.99,196900,623,1101,#auxiliobrasil #caminhoneiro #gas #brasil #🇧🇷 #reflexos #guerra #covid #fiqueemcasa #economia #auxilio #vale #imposto #reducao #zero #presidente #jairbolsonaro #jair #bolsonaro #1000 #dobro #pec #acao,24000,0,Mediano,Mediano,Mediano,Mediano,0,1,0,0,0,0,0
24,7117269425203514630,Head Person Face Adult Male Man Sad,,49.5,89800,365,192,#jairbolsonaro #verdade #brasil #🇧🇷 #jair #bolsonaro #caminho #consciencia #presidente #reflexos #compartilhe #esquerda #america #latina #vizinhos #basta #olhar,6123,0,Flopou,Flopou,Flopou,Flopou,0,1,0,0,0,0,0
25,7117411123879496966,Head Person Face Happy Blazer Clothing Coat Jacket Adult Male Man Laughing Accessories Formal Wear Tie Photography Portrait Suit Scarf Advertisement Poster,,73.0,63000,231,166,Olha essa mensagem de video 🇧🇷⭐️❤️ #mensagensparalula #vamosjuntospelobrasil #lula #Libertadores #pepsiapplepiechallenge,4641,1,Flopou,Flopou,Flopou,Flopou,0,1,0,0,0,0,0
26,7117590392270327046,Accessories Formal Wear Tie People Person Crowd Adult Male Man Necktie Clothing Suit Press Conference Head Face Glasses Photography Portrait,,60.3,195000,502,1808,#jairbolsonaro #agronegocio #agro #presidente #brasil #alimento #trigo #base #jair #bolsonaro #roraima #🇧🇷 #kg #goias #rr #go #hectare #producao #mundo #compartilhe,18500,0,Mediano,Mediano,Bombou,Mediano,0,0,1,0,0,0,0
27,7117603422920117509,Advertisement Poster Publication Book Mining Outdoors Person Nature Adult Male Man,,127.96,39700,123,286,#compartilhe #verdade #feitos #brasil #🇧🇷 #patria #realizacoes #familia #saude #economia #educacao #comercio #emprego #privatizacao #seguranca #startup #agronegocio #ocde #sao #francisco #liberdade #exonomica #reducao #gastos #rodovia #recorde #lei #mp #imoveis #escola #reforma #civico #militar #ampliacao #negocio #alfabetizacao #investimento #reforma #agraria #mundo #maquina #gastos #compartilhe,2368,0,Flopou,Flopou,Flopou,Flopou,0,0,1,0,0,0,0
28,7117660810549284102,Head Person Face Frown Sad Crying Adult Male Man,,54.33,110200,560,1285,#jairbolsonaro #compartilhe #cuba #venezuela #presidente #🇧🇷 #democracia #socialismo #povo #deus #patria #familia #combustivel,13100,0,Flopou,Mediano,Bombou,Mediano,0,0,1,0,0,0,0
29,7117971542633499910,Electrical Device Microphone People Person Crowd Press Conference Head Adult Male Man Face Smoke Pipe Performer Solo Performance Photography Portrait E-scooter Transportation Vehicle,,49.02,45700,171,186,#jairbolsonaro #bolsonaro #brasil #presidente #emocao #verde #amarelo #azul #e #branco #a #nossa #bandeira #jamais #sera #vermelha #deus #patria #familia #compartilhe,4149,0,Flopou,Flopou,Flopou,Flopou,0,0,0,0,1,0,0
30,7118042601000881413,Adult Male Man Person Face Head Clothing Formal Wear Suit,,9.26,125500,1698,363,Entrei para trend 😎 #clareza #vamosjuntospelobrasil #lula #equipelula,18100,1,Mediano,Bombou,Flopou,Mediano,0,0,0,0,1,0,0
31,7118068834459782405,People Person Boy Child Male Adult Man Captain Officer Clothing Hat Female Woman Face Head Helmet Flag Crowd Marching,,60.11,51100,182,119,#jairbolsonaro #presidente #constituicao #afa #academia #da #forca #aerea #sao #paulo #saopaulo #fab #forca #aerea #brasileira #brasil #deus #patria #familia #🇧🇷 #sp #compartilhe #jair #bolsonaro,4147,0,Flopou,Flopou,Flopou,Flopou,0,0,0,0,1,0,0
32,7118340242536434950,Head Person Face Adult Male Man Female Woman Smoke,,53.85,387300,854,3968,#jairbolsonaro #jair #bolsonaro #historia #brasil #🇧🇷 #deputado #federal #joaquim #barbosa #mensalao #pt #lula #dilma #fernandinho #beira #mar #comissao #parlamentar #470 #acao #penal #doleiro #alberto #yousseff #congresso #compartilhe,45200,0,Bombou,Mediano,Bombou,Bombou,0,0,0,0,0,1,0
33,7118447789050252549,Flag Adult Male Man Person Baby Brazil Flag Face Head Blackboard,,47.02,67100,329,627,O #Brasil merece mais #livros e mais #amor 🇧🇷❤️⭐️ #vamosjuntospelobrasil #lula #booktok #educacao #edutok,6987,1,Flopou,Flopou,Mediano,Flopou,0,0,0,0,0,1,0
34,7118453762775108869,Face Head Person Photography Portrait Body Part Finger Hand Adult Male Man People Crowd Advertisement Poster Business Card Paper Text,,52.06,208000,682,1021,A #bandeira brasileira é do #povo brasileiro ❤️🇧🇷⭐️ #vamosjuntospelobrasil #lula #Brasil #futebol,17200,1,Mediano,Mediano,Mediano,Mediano,0,0,0,0,0,1,0
35,7118506591141317894,Electrical Device Microphone Crowd Person Adult Male Man Audience Performer Solo Performance Face Head Speech,,15.11,63300,188,82,POV: você participou de um ato com o #Presidente ❤️😎🇧🇷⭐️ marque nos comentários quem você vai levar no próximo #vamosjuntospelobrasil #lula #pov,4583,1,Flopou,Flopou,Flopou,Flopou,0,0,0,0,0,1,0
36,7118536238520438021,Art Collage People Person Crowd Helmet City Adult Male Man Urban Animal Cat Mammal Pet Carnival Mardi Gras Parade Clothing Glove Bazaar Market Shop,,65.9,57600,274,457,#minasgerais #minas #gerais #mg #jair #bolsonaro #jairbolsonaro #brasil #🇧🇷 #moto #harley #harleydavidson #honda #dafra #suzuki #yamaha #kawasaki #50 #150 #250 #300 #600 #1000 #cc #brazil #president #500 #ihu #motorcycle #drive #road #thanks #obrigado,5284,0,Flopou,Flopou,Mediano,Flopou,0,0,0,0,0,1,0
37,7118548034631257350,Head Person Face Photography Portrait Happy Boy Child Male People Smile Adult Man Laughing,,24.98,68300,270,252,#jairbolsonaro #crianca #futuro #brasil #brazil #children #deus #patria #familia #jesus #jair #bolsonaro #presidente #satisfacao #🇧🇷 #❤️,6533,0,Flopou,Flopou,Flopou,Flopou,0,0,0,0,0,1,0
38,7118714403372928262,Head Person Face Adult Female Woman Animal Cat Mammal Pet Male Man,,21.43,1900000,2819,3199,#pelas #ruas #de #sao #paulo #presidente #jair #jairbolsonaro #bolsonaro #do #brasil #🇧🇷 #combustivel #diesel #gasolina #gracas #a #deus #icms #povo #paga #menos #sobra #mais #para #outras #coisas #trabalho #seguimos #adiante,146400,0,Viral,Viral,Bombou,Viral,1,0,0,0,0,0,0
39,7118767343315979526,Clothing T-Shirt Electrical Device Microphone Adult Male Man Person People Crowd Accessories Glasses Baseball Cap Cap Hat Business Card Paper Text Face Head Audience Performer Solo Performance,,57.72,645700,1307,7670,A história do Felipe Garcia é como a de milhares de brasileiros que acessaram o ensino com políticas públicas de governos que investiam na educação. É esse Brasil que vamos recuperar! ❤️🇧🇷⭐️ #vamosjuntospelobrasil #lula #educacao #prouni #DoritoslaÇıtırdatanLezzetler,33900,1,Bombou,Bombou,Viral,Bombou,1,0,0,0,0,0,0
40,7118779005758639366,Electrical Device Microphone Head Person Adult Male Man People Face Performer Solo Performance Crowd Photography Portrait,,30.95,213400,622,791,#jairbolsonaro #jair #bolsonaro #domingo #deus #patria #familia #brasil #acima #de #tudo #todos #jesus #bom #lado #🇧🇷 #quartel #frase #do #nada #diferencas #presidente #liberdade,25800,0,Mediano,Mediano,Mediano,Bombou,1,0,0,0,0,0,0
41,7119045148578778374,Crowd Person Press Conference Electrical Device Microphone Adult Male Man Accessories Formal Wear Tie People Glasses Head Face Clothing Glove,,43.81,448200,1018,4107,#jairbolsonaeo #bolsonaro #midia #imprensa #diferenca #jair #brasil #opiniao #jovempan #jovem #pan #presidente #datafolha #fakenews #2018 #uou #🇧🇷 #deus #patria #familia #controle #mais #uma,58600,0,Bombou,Bombou,Viral,Bombou,0,0,0,1,0,0,0
42,7119115867824147717,Accessories Formal Wear Tie Head Person Face Adult Male Man Necktie Clothing Coat Photography Portrait Sad,,25.73,108800,215,584,#jairbolsonaro #bolsonaro #mulher #violencia #defesa #brasil #quimica #brasil #🇧🇷 #compartilhe #leis #severas #compartilhe #presidente,12100,0,Flopou,Flopou,Mediano,Mediano,0,0,0,1,0,0,0
43,7119143272429161733,Adult Female Person Woman Male Man Clothing Formal Wear Suit Coat People Lady Crowd Flag Audience,,9.94,241800,600,353,"Com a Presidente da Hungria, Katalin Novák, nesta segunda-feira (11/07/2022). #presidente #jair #bolsonaro #assuntos #internacionais #brasil #hungria #🇧🇷 #🇭🇺 #katalin #novak #welcome #bemvinda #brazil #world #love",28800,0,Mediano,Mediano,Flopou,Bombou,0,0,0,1,0,0,0
44,7119192184913431813,Clothing T-Shirt Adult Female Person Woman Male Man Face Head Photography Portrait Electrical Device Microphone Baby Concert Crowd People Duet Performer Text Purple,,60.23,89300,289,349,"Foi emocionante o reencontro entre Lula e a jornalista e escritora Samara Del Monte, acompanhada da mãe Claudia Del Monte, em Diadema, neste sábado (9). Samara tem paralisia cerebral e, com as políticas públicas de #inclusão escolar implementadas pelos governos do PT, teve a oportunidade de estudar, se formar e escrever um livro.🎥: @ricardostuckert#vamosjuntospelobrasil #lula #educaçao #jornalismo #edutok #educationtiktok #livros #booktok #escritora",8903,1,Flopou,Flopou,Flopou,Flopou,0,0,0,1,0,0,0
45,7119275865011145990,Face Head Person Photography Portrait Accessories Glasses Earring Jewelry Adult Male Man Art Collage Blouse Clothing Purple Photo Frame Necklace,,12.65,63700,131,42,"Deus me deu o direito de me apaixonar outra vez. E hoje estou aqui, apaixonado pela Janja e pelo Brasil. ❤️🇧🇷📸: @ricardostuckert #vamosjuntospelobrasil #lula #amor",3919,1,Flopou,Flopou,Flopou,Flopou,0,0,0,1,0,0,0
46,7119293751159262470,Face Head Person Photography Portrait Adult Female Woman Publication Text Hair,,5.11,212400,749,246,Vamos juntos envolver o Brasil! 😎 #vamosjuntospelobrasil #lula #envolverchallenge #envolveranitta,20600,1,Mediano,Mediano,Flopou,Mediano,0,0,0,1,0,0,0
47,7119509830083038470,Face Head Person Photography Portrait Clothing Coat T-Shirt Adult Female Woman Glove Shirt Pants Hugging Purple Kissing Romantic People Jacket Text Advertisement,,60.0,591700,1583,6387,Vanilza dos Santos é apenas uma das milhares de pessoas beneficiadas pelo Minha Casa Minha vida. “Tenho fé e esperança que o Brasil vai mudar. E a mudança ja está pronta. Só depende da gente.” ❤️🦑🇧🇷 #vamosjuntospelobrasil #Bastidores #lula #minhacasaminhavida #esperança,38700,1,Bombou,Bombou,Viral,Bombou,0,0,0,0,0,0,1
48,7119636536571809030,Art Collage Face Head Person Photography Portrait Adult Female Woman Male Man Cap Clothing Hat Girl Teen Baseball Cap Baby Child Body Part Finger Hand Accessories Glasses Jewelry Necklace People,,26.47,94800,379,493,Faz O L e vem 😎 marque aqui 3 pessoas pra seguir o perfil do presidente! #FAZoL #Lula #FAZoLchallenge #vamosjuntospeloBrasil,7606,1,Flopou,Flopou,Mediano,Flopou,0,0,0,0,0,0,1
49,7119639753816820998,People Person Child Female Girl Adult Male Man Boy Woman Celebrating Clothing Shorts Head Sport Volleyball Volleyball Game,,29.19,44300,103,36,#molecada #futuro #brasil #pch #helicoptero #helicopter #brazil #children #jairbolsonaro #🇧🇷 #jairbolsonaro #presidente #jair #bolsonaro #deus #patria #familia #family #10 #ihu #ffaa #👍🏻,2963,0,Flopou,Flopou,Flopou,Flopou,0,0,0,0,0,0,1
50,7119808655352024326,Head Person Face Photography Portrait Adult Male Man Purple Sad Crying,,29.16,62500,145,165,#jairbolsonaro ##jair #bolsonaro #brasil #icms #imposto #combustivel #diesel #gasolina #fuel #tax #presidente #senado #pt #voto #contra #o #povo #energia #eletrica #transporte #reducao #valor #trabalhador,4977,0,Flopou,Flopou,Flopou,Flopou,0,1,0,0,0,0,0
51,7119890914910194950,Head Person Face Frown Sad Adult Male Man Crying Accessories Formal Wear Tie Business Card Paper Text Photography Portrait,,59.6,66800,159,250,#jairbolsonaro #bolsonaro #brasil #defesa #familia #violencia #fato #x #narrativa #jair #🇧🇷 #familia #reducao #violencia #criminalidade #verdade #liberdade #presidente #compartilhe,5682,0,Flopou,Flopou,Flopou,Flopou,0,1,0,0,0,0,0
52,7119957986759658758,Head Person Face Adult Male Man Frown Sad Crying Photography Portrait,,35.71,106300,454,1630,#jairbolsonaro #bolsonaro #maranhao #brasil #🇧🇷 #imperatriz #deus #patria #familia #moto #povo #jair #presidente #ma,10200,0,Flopou,Mediano,Bombou,Flopou,0,1,0,0,0,0,0
53,7120002612820266246,Blazer Clothing Coat Jacket People Person Electrical Device Microphone Crowd Accessories Formal Wear Tie Adult Male Man Face Head Photography Portrait Suit Audience Body Part Finger Hand Electronics Speaker Speech,,19.62,438300,2719,3815,Estamos 100% envolvidos ⭐️🇧🇷🦑❤️ #lula #anittachallenge #envolverchallenge #envolveranitta #anitta #brasil,60500,1,Bombou,Viral,Bombou,Bombou,0,1,0,0,0,0,0
54,7120031316359384326,Parade Person Crowd Car Transportation Vehicle,,22.15,89800,287,388,-Imperatriz / MA (13/07/2022)#jair #bolsonaro #jairbolsonaro #imperatriz #maranhao #ma #lula #pt #dilma #brasil #🇧🇷 #compartilhe,9316,0,Flopou,Flopou,Flopou,Flopou,0,1,0,0,0,0,0
55,7120178088524188934,Head Person Face Photography Portrait Adult Male Man Formal Wear People Happy Female Woman Accessories Glasses Laughing Crowd Clothing Suit Tie Coat,,46.55,75200,164,257,#jairbolsonaro #bolsonaro #jair #realizacoes #governo #banqueiros #povo #brasil #🇧🇷 #desburocratizacao #cartorios #hoje #futuro #presidente #compartilhe #verdade,6988,0,Flopou,Flopou,Flopou,Flopou,0,0,1,0,0,0,0
56,7120262614063516934,Head Person Face Adult Male Man Happy Photography Portrait Laughing Smile Clothing Coat Crying Sad,,37.45,107500,270,333,#jairbolsonaro #diferenca #lula #pt #hipocritas #brasil #deus #patria #familia #jair #bolsonaro #presidente #estadia #custo #zero #padrao #jornal #nacional #🇧🇷 #alo #rede #globo #compartilhe,9152,0,Flopou,Flopou,Flopou,Flopou,0,0,1,0,0,0,0
57,7120270818977844485,Clothing T-Shirt Baseball Cap Cap Hat Pants Shirt Person Face Head Photography Portrait Adult Female Woman Costume Footwear Shoe People,,23.82,89600,198,77,Olha como foi os #bastidores da #gravação 😎❤️🦑 #FAZoL #fazolchallenge #lula #makingof #antesedepois #comoficou,6434,1,Flopou,Flopou,Flopou,Flopou,0,0,1,0,0,0,0
58,7120308034231913734,People Person Electrical Device Microphone Crowd Adult Male Man Face Head Audience Speech Lecture Clothing Formal Wear Suit,,51.36,105700,451,622,✨Eu sonho com um Brasil de oportunidades ✨ #vamosjuntospelobrasil #lula #amor #esperança #brasil #emocionante,9393,1,Flopou,Mediano,Mediano,Flopou,0,0,1,0,0,0,0
59,7120312213142801669,Face Head Person Photography Portrait Adult Male Man Crowd,,56.79,76100,169,135,#presidente #estado #emergencia #mais #necessitados #jair #bolsonaro #jairbolsonaro#auxilio #caminhao #caminhoneiro #brasil #auxiliobrasil #taxi #taxista #🇧🇷 #pec #verdade #pt #senador #deputado #psol #ajuda #compartilhe,5828,0,Flopou,Flopou,Flopou,Flopou,0,0,1,0,0,0,0
60,7120372484049816838,Adult Female Person Woman People Crowd Photography Male Man Baby Face Head Body Part Finger Hand Electrical Device Microphone Boy Child Audience Accessories Glasses,,56.63,724200,2138,5767,"Todo mundo sabe que eu vou governar para todos mas prioritariamente para o povo pobre, o povo que mais necessita e o povo que trabalha #vamosjuntospelobrasil #lula #amor #economia #brasil",61500,1,Viral,Bombou,Viral,Bombou,0,0,1,0,0,0,0
61,7120415083867491589,Crowd Person Adult Female Woman Male Man Audience People Conversation Speech Electrical Device Microphone Debate Head Clothing Coat Face,,44.51,306000,826,1104,#jairbolsonaro #presidente #jair #bolsonaro #deus #patria #familia #evangelho #evangelica #aborto #escoria #brasil #acima #de #tudo #verdade #compartilhe #🇧🇷 #socialismo #comunismo,39500,0,Bombou,Mediano,Mediano,Bombou,0,0,1,0,0,0,0
62,7120581357117394181,Face Head Person Photography Portrait Adult Male Man People Crowd Advertisement Poster,,31.16,136600,383,761,#venezuela #brasil #presidente #jair #bolsonaro #jairbolsonaro #verdade #irmaos #socialismo #fome #miseria #violencia #deus #patria #familia #brasil #🇧🇷 #compartilhe,16000,0,Mediano,Flopou,Mediano,Mediano,0,0,0,0,1,0,0
63,7120608894753230086,People Person Crowd Adult Male Man Flag Brazil Flag Logo Parade,,59.95,74800,420,1039,#jairbolsonaro #bolsonaro #jair #minas #gerais #minasgerais #mg #jf #juiz #de #fora #juizdefora #deus #patria #familia #liberdade #moto #jesus #🇧🇷 #presidente #obrigado #brazil #president #👍🏻,8219,0,Flopou,Mediano,Mediano,Flopou,0,0,0,0,1,0,0
64,7120694066995531014,People Person Head Face Crowd Adult Male Man Accessories Formal Wear Tie Photography Portrait Computer Hardware Electronics Hardware Monitor Screen Frown Sad Audience Lecture TV,,25.24,463600,1289,2885,#energia #nordeste #offshore #🇧🇷 #futuro #presidente #jair #bolsonaro #jairbolsonaro #meio #ambiente #limpo #brasil #presidente #compartilhe #hidrogenio #eolica #vento #👍🏻,52500,0,Bombou,Bombou,Bombou,Bombou,0,0,0,0,1,0,0
65,7120746294724906246,Book Publication Indoors Library Person Reading Adult Male Man Head Face Furniture Accessories Glasses Business Card Paper Text,,39.08,154100,263,642,#jairbolsonaro #verdade #presidente #compartilhe #brasil #🇧🇷 #jair #bolsonaro #nine #rp9 #emenda #de #relator #pt #lula #mais #uma #dele,13500,0,Mediano,Flopou,Mediano,Mediano,0,0,0,0,1,0,0
66,7120925234470849798,Book Publication Indoors Library Adult Male Man Person Face Head Furniture Photography Portrait Reading Accessories Glasses People Shop,,25.7,62500,163,90,#presidente #ajuda #estado #emergencial #mais #humildes #jair #bolsonaro #jairbolsonaro #bolsa #familia #bolsafamilia #auxilio #brasil #auxiliobrasil #promulgacao #🇧🇷 #192 #400 #600 #real #deus #patria #compartilhe,4833,0,Flopou,Flopou,Flopou,Flopou,0,0,0,0,0,1,0
67,7120965804618796294,Electrical Device Microphone Head Person Face Adult Male Man Crowd People Performer Solo Performance Photography Portrait,,52.45,80100,230,834,#diferenca #jair #bolsonaro #jairbolsonaro #lula #maioridade #penal #maioridadepenal #reducao #16anos #compartilhe #brasil #🇧🇷 #presidente #cachaca #tubaina,11300,0,Flopou,Flopou,Mediano,Mediano,0,0,0,0,0,1,0
